city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,source,log_harga
Depok,456,682,2,2,1,2000,SHM,Sedang,-6.185192123095054,106.74604375751942,3557393967.0,kaggle,21.992294082283816
Jakarta Utara,436,668,7,7,3,2015,SHM,Baru,-6.162152191494303,106.85629204478332,5137153362.0,kaggle,22.35976494257029
Tangerang,506,545,5,5,0,2019,SHM,Bagus,-6.374228301456859,106.71543779846118,3916968667.0,kaggle,22.088583892619305
Jakarta Pusat,253,405,1,1,0,1998,HGB,Sedang,-6.35774946717849,106.77243235946612,3847515819.0,kaggle,22.07069353542974
Depok,210,336,3,2,2,1991,SHM,Bagus,-6.377015360895284,106.7465241776842,1874935622.0,kaggle,21.351840161379346
Jakarta Timur,58,294,3,2,1,2007,SHM,Sedang,-6.182227799022052,106.80690038937507,1643100903.0,kaggle,21.219851088601448
Depok,270,324,7,6,3,1990,SHM,Sedang,-6.118229022372926,106.71558930400072,2583958967.0,kaggle,21.672588543483723
Tangerang,48,219,2,1,0,2016,HGB,Sedang,-6.199106977643134,106.6901893582554,922630201.0,kaggle,20.642739064298993
Jakarta Pusat,136,244,7,6,3,2007,SHM,Sedang,-6.141486632292155,106.89017408148162,2474713508.0,kaggle,21.629390472327668
Jakarta Utara,571,754,2,2,2,2014,SHM,Sedang,-6.226455316790889,106.87527967305276,5707405421.0,kaggle,22.46503036540307
Tangerang,558,755,5,4,1,2023,HGB,Sedang,-6.31431903480442,106.90667485953236,4914644813.0,kaggle,22.315485322217057
Tangerang,487,573,4,3,2,1994,SHM,Sedang,-6.300983434774393,106.89132366088684,3962870988.0,kaggle,22.10023459675149
Jakarta Timur,466,666,1,1,3,1995,HGB,Bagus,-6.423637498741408,106.71657429796556,5180922501.0,kaggle,22.368248966550993
Bogor,568,842,6,5,2,1986,SHM,Baru,-6.438989981663891,106.7731452420402,4455539505.0,kaggle,22.21741399177159
Jakarta Pusat,328,538,4,3,3,1982,SHM,Bagus,-6.206583538533823,106.72144851516812,4918280967.0,kaggle,22.316224909649396
Jakarta Barat,136,253,4,4,0,2010,SHM,Baru,-6.296549887796087,106.94975116865554,2093672452.0,kaggle,21.462185515478616
Tangerang,537,727,2,1,0,1991,SHM,Bagus,-6.256724726180879,106.91900916971376,4409692826.0,kaggle,22.207070870237736
Bogor,339,380,2,1,2,1987,HGB,Bagus,-6.2548185633321545,106.74448864093384,2102462549.0,kaggle,21.46637513752432
Jakarta Barat,575,616,2,1,0,2004,SHM,Butuh Renovasi,-6.352918465333344,106.78921895695676,5907095710.0,kaggle,22.49942012811976
Jakarta Pusat,588,863,4,3,3,2023,SHM,Butuh Renovasi,-6.283437621209679,106.98931679752457,8344745919.0,kaggle,22.844897946622456
Jakarta Selatan,390,406,7,6,0,2014,HGB,Sedang,-6.285233922416304,106.87013099452147,5419756792.0,kaggle,22.41331677925096
Bogor,338,620,1,1,1,1991,HGB,Butuh Renovasi,-6.31405047257025,106.93636979113636,2869550486.0,kaggle,21.77742122971233
Bekasi,531,788,7,7,1,2000,SHM,Butuh Renovasi,-6.1627636158096255,106.764669131126,4768738195.0,kaggle,22.285347577712194
Jakarta Selatan,262,324,2,1,2,2005,SHM,Sedang,-6.292092598709341,106.74721693445738,3500112347.0,kaggle,21.976060904355176
Jakarta Timur,271,332,3,3,2,1981,SHM,Baru,-6.2387244164229045,106.93085341723088,3178681220.0,kaggle,21.879732237345006
Depok,490,589,7,7,2,1993,HGB,Bagus,-6.136567957866711,106.89947918567408,4018150212.0,kaggle,22.114087487657773
Jakarta Utara,48,66,1,1,2,1983,HGB,Bagus,-6.146818231999377,106.89791293734775,390963024.0,kaggle,19.784123548260677
Bekasi,245,261,3,2,3,1996,SHM,Baru,-6.138352228677292,106.85684306618536,2203802626.0,kaggle,21.513450172049186
Jakarta Timur,432,677,1,1,3,1984,SHM,Sedang,-6.355498251237245,106.86034506968848,4975481124.0,kaggle,22.327787911423712
Jakarta Pusat,135,385,2,2,1,2003,SHM,Baru,-6.437756129092178,106.915423201698,2604064791.0,kaggle,21.68033944270362
Jakarta Timur,66,146,7,6,3,1986,SHM,Bagus,-6.358626620036635,106.76640079395878,1471637461.0,kaggle,21.109641537516705
Depok,563,601,6,5,0,2002,HGB,Baru,-6.352452429032752,106.79288590907424,4022414034.0,kaggle,22.115148065564536
Jakarta Pusat,364,399,5,4,1,1996,SHM,Bagus,-6.131723885646261,106.9589237665664,5017783164.0,kaggle,22.33625407251818
Bekasi,201,397,2,2,2,1991,SHM,Bagus,-6.22276504350671,106.77883686432388,1928956529.0,kaggle,21.38024503562386
Depok,494,651,4,4,2,1990,SHM,Sedang,-6.42140361413922,106.85481906284136,3895366542.0,kaggle,22.083053617874803
Jakarta Barat,135,338,6,5,3,1990,SHM,Bagus,-6.402617491396115,106.90484462848214,2201153828.0,kaggle,21.512247527552823
Jakarta Utara,208,403,4,4,1,2013,SHM,Bagus,-6.395513356060309,106.99997594458662,2530461399.0,kaggle,21.651667494599675
Bekasi,197,412,1,1,3,2016,HGB,Sedang,-6.229352388140876,106.81929322607851,1977569790.0,kaggle,21.405134549524405
Jakarta Barat,298,582,4,4,3,2008,HGB,Sedang,-6.192605091072549,106.81698972051998,3931519900.0,kaggle,22.09229193131868
Bekasi,309,504,6,5,3,2015,SHM,Bagus,-6.149124631302112,106.94962828141875,3017883795.0,kaggle,21.827821692905985
Jakarta Pusat,38,189,6,6,1,2006,HGB,Baru,-6.120777207217815,106.93776099560316,1324527921.0,kaggle,21.004321947616898
Jakarta Barat,63,76,2,1,2,2021,HGB,Baru,-6.379403404914745,106.91394428215506,767141653.0,kaggle,20.458182028068
Jakarta Utara,361,506,3,2,0,2001,SHM,Sedang,-6.341579630346583,106.82823348397088,3921474730.0,kaggle,22.08973362688847
Depok,184,240,2,2,2,1981,SHM,Bagus,-6.365886991739309,106.78366051845144,1497389099.0,kaggle,21.126988828450273
Tangerang,575,785,1,1,1,2015,SHM,Baru,-6.324433451386851,106.87479375442716,4908586439.0,kaggle,22.314251843209693
Jakarta Timur,523,790,4,4,2,2009,SHM,Baru,-6.129867212401687,106.96039145380212,5735846713.0,kaggle,22.470001216385953
Jakarta Selatan,473,682,3,3,2,1986,HGB,Sedang,-6.248710601571223,106.96280878662677,7167667840.0,kaggle,22.692846172399143
Jakarta Utara,100,116,7,7,0,1991,SHM,Bagus,-6.191632835936425,106.71471947042257,1301613341.0,kaggle,20.98687036427754
Jakarta Barat,391,676,5,4,2,1982,HGB,Bagus,-6.278458267355626,106.81707209082022,5022717780.0,kaggle,22.33723701478846
Tangerang,568,770,6,5,2,1996,HGB,Bagus,-6.439899730332357,106.8287110259836,5076748668.0,kaggle,22.347936867845462
Jakarta Utara,287,385,3,3,2,2020,SHM,Baru,-6.427531579900765,106.9928369176076,3175023565.0,kaggle,21.878580891625724
Jakarta Barat,270,548,7,6,3,2011,HGB,Bagus,-6.26172693905624,106.89695936487765,4064650888.0,kaggle,22.12559369409328
Bogor,262,470,3,2,1,1987,SHM,Bagus,-6.198423837812991,106.81031885352388,2229438041.0,kaggle,21.525015391558192
Bogor,560,688,2,2,1,2002,SHM,Bagus,-6.374634315364944,106.6883385235154,3820980099.0,kaggle,22.063772797336895
Jakarta Utara,348,635,7,6,0,2017,HGB,Sedang,-6.1973316491026935,106.86092325123174,4181158690.0,kaggle,22.153854243874413
Bogor,84,335,5,4,3,2009,SHM,Bagus,-6.1662669792807705,106.71074431220428,1601190275.0,kaggle,21.19401311211896
Jakarta Barat,153,417,6,6,3,1994,SHM,Sedang,-6.305835882573261,106.94702398635128,2899910377.0,kaggle,21.787945669323367
Jakarta Barat,89,359,1,1,2,1989,HGB,Baru,-6.188753268504563,106.92080597138252,1967398054.0,kaggle,21.399977722428027
Jakarta Utara,79,266,1,1,1,2017,HGB,Bagus,-6.308589517385039,106.82736293117064,1287950400.0,kaggle,20.976317955346726
Tangerang,88,301,3,3,0,1994,SHM,Baru,-6.212577279690743,106.81734744945337,1599883937.0,kaggle,21.193196924811083
Depok,593,875,7,6,3,2009,SHM,Sedang,-6.18260103273816,106.967148468982,4973082798.0,kaggle,22.327305766248834
Bekasi,560,770,3,3,2,2005,SHM,Bagus,-6.102825683592161,106.7723066721338,4405789225.0,kaggle,22.20618524623404
Tangerang,137,212,4,4,0,1993,HGB,Bagus,-6.329111168277741,106.75968638787415,1638343144.0,kaggle,21.216951290669265
Jakarta Pusat,433,580,5,5,3,1982,SHM,Sedang,-6.306135726798886,106.98054317850423,6188438660.0,kaggle,22.545948656123393
Jakarta Barat,173,385,6,6,0,2015,HGB,Butuh Renovasi,-6.39203297920644,106.93895866776111,2973016456.0,kaggle,21.81284291643309
Jakarta Pusat,422,530,3,2,3,2005,HGB,Baru,-6.378574429559368,106.9426001897815,5861489281.0,kaggle,22.491669551932304
Tangerang,146,274,4,4,0,1993,HGB,Baru,-6.207311749090568,106.7424620205683,1481183302.0,kaggle,21.116107134323396
Bekasi,52,61,7,7,3,2010,HGB,Baru,-6.129034043445933,106.7258547172579,781878630.0,kaggle,20.477210083139493
Bekasi,217,263,5,4,3,1993,HGB,Sedang,-6.311888266918566,106.68832945594148,1800729171.0,kaggle,21.311457515375032
