city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Depok,1000.0,600.0,7.0,7,5.0,,,Siap Huni,,,7700000000.0,Rumah Bagus Dibukit Pesangrahan Cinere Ruang Klg Lt 1 Dan 2 Iluas,Cinere,https://www.rumah123.com/properti/depok-cinere/rumah-bagus-dibukit-pesangrahan-cinere-ruang-klg-lt-1-dan-2-iluas-hos4314426/,rumah123_playwright,2026-04-19T11:56:35.382352
Depok,101.0,77.0,4.0,3,3.0,,,,,,1200000000.0,Rumah Ready Stock 2 Lantai di Sawangan,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-ready-stock-2-lantai-di-sawangan-hos41101319/,rumah123_playwright,2026-04-19T11:56:43.523719
Depok,50.0,96.0,2.0,1,1.0,,,Siap Huni,,,740000000.0,"Rumah Bagus 1 Lantai , Tanah Luas,Dekat Sekolah2 Bagus, Rumah Sakit, 10 Menit ke Stasiun KRL, Bebas Banjir, Lokasi Nyaman",Cilodong,https://www.rumah123.com/properti/depok-cilodong/rumah-bagus-1-lantai-tanah-luasdekat-sekolah2-bagus-rumah-sakit-10-menit-ke-stasiun-krl-bebas-banjir-lokasi-nyaman-hos40972208/,rumah123_playwright,2026-04-19T11:56:57.808293
Depok,45.0,77.0,2.0,1,,,SHM,Siap Huni,,,600000000.0,Rumah Minimalis di Cilodong 15 Menit ke Stasiun Hadap Selatan J45947,Cilodong,https://www.rumah123.com/properti/depok-cilodong/rumah-minimalis-di-cilodong-15-menit-ke-stasiun-hadap-selatan-j45947-hos41305373/,rumah123_playwright,2026-04-19T11:57:07.321383
Depok,73.0,72.0,2.0,2,,,SHM,Siap Huni,,,890000000.0,Rumah 2 LT Siap Huni 10 Menit ke Citimall Cimanggis Bebas Banjir J43161,Cimanggis,https://www.rumah123.com/properti/depok-cimanggis/rumah-2-lt-siap-huni-10-menit-ke-citimall-cimanggis-bebas-banjir-j43161-hos41092421/,rumah123_playwright,2026-04-19T11:57:17.462225
Depok,90.0,108.0,2.0,1,,,,Siap Huni,,,800000000.0,Rumah LT 108 Hadap Utara 8 Menit ke The Park Sawangan J-44744,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-lt-108-hadap-utara-8-menit-ke-the-park-sawangan-j44744-hos41195188/,rumah123_playwright,2026-04-19T11:57:27.456342
Depok,109.0,112.0,3.0,4,,,,Siap Huni,,,2770000000.0,Rumah Carport Luas 6 Menit ke Rsu Brawijaya Sawangan Siap Huni J42815,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-carport-luas-6-menit-ke-rsu-brawijaya-sawangan-siap-huni-j42815-hos41145141/,rumah123_playwright,2026-04-19T11:57:36.874268
Depok,62.0,72.0,3.0,2,,,,Siap Huni,,,890000000.0,Rumah 2 LT Siap KPR 15 Menit ke Terminal Sawangan Hadap Timur J42877,Sawangan,https://www.rumah123.com/properti/depok-sawangan/rumah-2-lt-siap-kpr-15-menit-ke-terminal-sawangan-hadap-timur-j42877-hos41092418/,rumah123_playwright,2026-04-19T11:57:46.255458
Depok,40.0,62.0,2.0,2,,,,Siap Huni,,,670000000.0,Rumah Siap Huni 9 Menit ke Rsud Depok Timur 1 Lantai bisa KPR J45510,Cilodong,https://www.rumah123.com/properti/depok-cilodong/rumah-siap-huni-9-menit-ke-rsud-depok-timur-1-lantai-bisa-kpr-j45510-hos41305381/,rumah123_playwright,2026-04-19T11:57:55.841244
Depok,422.0,570.0,6.0,6,2.0,,SHM,Siap Huni,,,6000000000.0,Hot Sale!! Rumah Bagus Murah SHM di Cinere Estate Jakarta Selatan Dekat Toll Bebas Banjir,Cinere,https://www.rumah123.com/properti/depok-cinere/jual-cepat-rumah-bagus-shm-di-cinere-estate-jakarta-selatan-dekat-toll-bebas-banjir-hos18976048/,rumah123_playwright,2026-04-19T11:58:07.446713
