city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga
Depok,456,682,2,2,1,2000,SHM,Sedang,-6.185192123095054,106.74604375751942,3557393967
Jakarta Utara,436,668,7,7,3,2015,SHM,Baru,-6.162152191494303,106.85629204478333,5137153362
Tangerang,506,545,5,5,0,2019,SHM,Bagus,-6.374228301456859,106.71543779846118,3916968667
Jakarta Pusat,253,405,1,1,0,1998,HGB,Sedang,-6.35774946717849,106.77243235946612,3847515819
Depok,210,336,3,2,2,1991,SHM,Bagus,-6.377015360895284,106.74652417768421,1874935622
Jakarta Timur,58,294,3,2,1,2007,SHM,Sedang,-6.182227799022052,106.80690038937507,1643100903
Depok,270,324,7,6,3,1990,SHM,Sedang,-6.118229022372926,106.71558930400072,2583958967
Tangerang,48,219,2,1,0,2016,HGB,Sedang,-6.199106977643134,106.6901893582554,922630201
Jakarta Pusat,136,244,7,6,3,2007,SHM,Sedang,-6.141486632292155,106.89017408148162,2474713508
Jakarta Utara,571,754,2,2,2,2014,SHM,Sedang,-6.226455316790889,106.87527967305275,5707405421
Tangerang,558,755,5,4,1,2023,HGB,Sedang,-6.31431903480442,106.90667485953237,4914644813
Tangerang,487,573,4,3,2,1994,SHM,Sedang,-6.300983434774393,106.89132366088683,3962870988
Jakarta Timur,466,666,1,1,3,1995,HGB,Bagus,-6.423637498741408,106.71657429796556,5180922501
Bogor,568,842,6,5,2,1986,SHM,Baru,-6.438989981663891,106.77314524204021,4455539505
Jakarta Pusat,328,538,4,3,3,1982,SHM,Bagus,-6.206583538533823,106.72144851516812,4918280967
Jakarta Barat,136,253,4,4,0,2010,SHM,Baru,-6.296549887796087,106.94975116865554,2093672452
Tangerang,537,727,2,1,0,1991,SHM,Bagus,-6.256724726180879,106.91900916971377,4409692826
Bogor,339,380,2,1,2,1987,HGB,Bagus,-6.2548185633321545,106.74448864093384,2102462549
Jakarta Barat,575,616,2,1,0,2004,SHM,Butuh Renovasi,-6.352918465333344,106.78921895695677,5907095710
Jakarta Pusat,588,863,4,3,3,2023,SHM,Butuh Renovasi,-6.2834376212096785,106.98931679752455,8344745919
Jakarta Selatan,390,406,7,6,0,2014,HGB,Sedang,-6.285233922416304,106.87013099452149,5419756792
Bogor,338,620,1,1,1,1991,HGB,Butuh Renovasi,-6.31405047257025,106.93636979113637,2869550486
Bekasi,531,788,7,7,1,2000,SHM,Butuh Renovasi,-6.1627636158096255,106.764669131126,4768738195
Jakarta Selatan,262,324,2,1,2,2005,SHM,Sedang,-6.292092598709341,106.74721693445738,3500112347
Jakarta Timur,271,332,3,3,2,1981,SHM,Baru,-6.2387244164229045,106.93085341723089,3178681220
Depok,490,589,7,7,2,1993,HGB,Bagus,-6.136567957866711,106.89947918567407,4018150212
Jakarta Utara,48,66,1,1,2,1983,HGB,Bagus,-6.146818231999377,106.89791293734777,390963024
Bekasi,245,261,3,2,3,1996,SHM,Baru,-6.138352228677292,106.85684306618535,2203802626
Jakarta Timur,432,677,1,1,3,1984,SHM,Sedang,-6.355498251237245,106.86034506968849,4975481124
Jakarta Pusat,135,385,2,2,1,2003,SHM,Baru,-6.437756129092178,106.915423201698,2604064791
Jakarta Timur,66,146,7,6,3,1986,SHM,Bagus,-6.358626620036635,106.76640079395878,1471637461
Depok,563,601,6,5,0,2002,HGB,Baru,-6.352452429032752,106.79288590907423,4022414034
Jakarta Pusat,364,399,5,4,1,1996,SHM,Bagus,-6.131723885646261,106.95892376656641,5017783164
Bekasi,201,397,2,2,2,1991,SHM,Bagus,-6.22276504350671,106.77883686432389,1928956529
Depok,494,651,4,4,2,1990,SHM,Sedang,-6.42140361413922,106.85481906284137,3895366542
Jakarta Barat,135,338,6,5,3,1990,SHM,Bagus,-6.402617491396115,106.90484462848214,2201153828
Jakarta Utara,208,403,4,4,1,2013,SHM,Bagus,-6.395513356060309,106.99997594458662,2530461399
Bekasi,197,412,1,1,3,2016,HGB,Sedang,-6.229352388140876,106.81929322607851,1977569790
