city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Tangerang,63.0,60.0,3,2,2.0,,,Baru,,,810000000.0,For Sale Rumah Baru Strategis 2 Lantai Karya Alam Sutera Group,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/for-sale-rumah-baru-strategis-2-lantai-karya-alam-sutera-group-hos41278599/,rumah123_playwright,2026-04-19T12:59:31.191557
Tangerang,126.0,105.0,3,3,2.0,,SHM,Siap Huni,,,3000000000.0,Rumah 2 Lantai Siap Huni Dalam Cluster di BSD,BSD,https://www.rumah123.com/properti/tangerang-bsd/rumah-2-lantai-siap-huni-dalam-cluster-di-bsd-hos39144908/,rumah123_playwright,2026-04-19T12:59:40.775123
Tangerang,177.0,222.0,5,5,4.0,,,,,,7700000000.0,For Sale! Elite And Spacious House In BSD City Tangerang With 5 BR,BSD City,https://www.rumah123.com/properti/tangerang-bsd-city/for-sale-elite-and-spacious-house-in-bsd-city-tangerang-with-5-br-hos39369306/,rumah123_playwright,2026-04-19T12:59:49.892726
Tangerang,300.0,485.0,6,5,3.0,,,,,,9500000000.0,Dijual Murah Banget Rumah Hoek Sitara Orlanda Pelangi Jingga Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-hoek-sitara-orlanda-pelangi-jingga-alam-sutera-hos41205008/,rumah123_playwright,2026-04-19T12:59:59.617608
Tangerang,68.0,82.0,3,2,2.0,,SHM,,,,1250000000.0,Brand New! Rumah Cantik 2 Lantai 1.2M Komplek Cendana Cove Lippo Karawaci,Lippo Karawaci,https://www.rumah123.com/properti/tangerang-lippo-karawaci/brand-new-rumah-cantik-2-lantai-12m-komplek-cendana-cove-lippo-karawaci-hos41396269/,rumah123_playwright,2026-04-19T13:00:07.830266
Tangerang,269.0,240.0,5,4,4.0,,,Siap Huni,,,5150000000.0,Dijual Murah Abis ! Rumah Rapih Siap Huni Sutera Victoria Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-murah-abis-rumah-rapih-siap-huni-sutera-victoria-alam-sutera-hos40188407/,rumah123_playwright,2026-04-19T13:00:16.536588
Tangerang,330.0,480.0,6,7,4.0,,SHM,,,,10500000000.0,Dijual Rumah Cantik dan Murah!!! Sutera Renata Aruna Utama!,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-cantik-dan-murah-sutera-renata-aruna-utama-hos41025503/,rumah123_playwright,2026-04-19T13:00:27.800280
Tangerang,193.0,160.0,5,4,8.0,,,Siap Huni,,,5500000000.0,Dijual Rumah Cantik Furnished Sutera Narada Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-cantik-furnished-sutera-narada-alam-sutera-hos41342031/,rumah123_playwright,2026-04-19T13:00:39.540308
Tangerang,392.0,502.0,5,5,10.0,,,,,,7800000000.0,Hitung Tanah Saja View Pool Jalan Boulevard ! Depan Club House Taman Sutera Renata Aruna Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/hitung-tanah-saja-view-pool-jalan-boulevard-depan-club-house-taman-sutera-renata-aruna-alam-sutera-hos39835025/,rumah123_playwright,2026-04-19T13:00:48.096394
Tangerang,200.0,250.0,6,4,2.0,,,,,,3990000000.0,"Dijual Rumah 2 Lantai Cocok untuk Kos-Kosan di Sutera Kirana, Alam Sutera",Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-2-lantai-cocok-untuk-koskosan-di-sutera-kirana-alam-sutera-hos18879767/,rumah123_playwright,2026-04-19T13:00:59.032401
Tangerang,230.0,190.0,5,3,2.0,,,Siap Huni,,,4900000000.0,Dijual Rumah Strategis Siap Huni di Sutera Kirana Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-strategis-siap-huni-di-sutera-kirana-alam-sutera-hos40923816/,rumah123_playwright,2026-04-19T13:01:10.405076
Tangerang,177.0,222.0,5,5,4.0,,,Baru,,,7700000000.0,Rumah Mewah Elit Baru di Cluster The Blizfield BSD 5KT Sangat Luas Fasilitas Lengkap,BSD,https://www.rumah123.com/properti/tangerang-bsd/rumah-mewah-elit-baru-di-cluster-the-blizfield-bsd-5kt-sangat-luas-fasilitas-lengkap-hos39369170/,rumah123_playwright,2026-04-19T13:01:19.318292
Tangerang,750.0,555.0,6,6,2.0,,,,,,10500000000.0,Rumah Megah Lux Termurah Alam Sutera Private Contractor Gaya Modern French Classic,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/rumah-megah-lux-termurah-alam-sutera-private-contractor-gaya-modern-french-classic-hos39306317/,rumah123_playwright,2026-04-19T13:01:26.778697
Tangerang,110.0,72.0,3,3,4.0,,,Siap Huni,,,1650000000.0,Murah Rumah Samara Gading Serpong Sdh Penambahan Bangunan,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/murah-rumah-samara-gading-serpong-sdh-penambahan-bangunan-hos12230156/,rumah123_playwright,2026-04-19T13:01:34.713503
Tangerang,160.0,94.0,3,2,2.0,,,,,,108000000000.0,Rumah Dijual Murah D Cipondoh Kota Tangerang,Cipondoh,https://www.rumah123.com/properti/tangerang-cipondoh/rumah-dijual-murah-bu-ditaman-royal-cipondoh-kota-tangerang-hos41226709/,rumah123_playwright,2026-04-19T13:01:43.980404
Tangerang,158.0,128.0,5,4,,,,,,,3800000000.0,"Rumah The Springs Gading Serpong 3,8M Jual Cepat",Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-the-springs-gading-serpong-38m-jual-cepat-hos18056092/,rumah123_playwright,2026-04-19T13:01:51.314206
Tangerang,80.0,60.0,3,2,1.0,,,,,,1040000000.0,Rumah 5 Menit Dari Exit Toll Aeon Mall Serponghanya 1 Miliar,BSD City,https://www.rumah123.com/properti/tangerang-bsd-city/rumah-5-menit-dari-exit-toll-aeon-bsd-hanya-1-miliar-hos40713139/,rumah123_playwright,2026-04-19T13:02:00.784218
Tangerang,450.0,300.0,5,4,3.0,,SHM,,,,9000000000.0,Turun Harga!!! Dijual Rumah Full Furnish Nyaman Lokasi Lokasi Strategis di Jl Janur Hijau I Gading Serpong,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-rumah-full-furnish-nyaman-lokasi-lokasi-strategis-di-jl-janur-hijau-i-gading-serpong-hos41299193/,rumah123_playwright,2026-04-19T13:02:09.097886
Tangerang,165.0,112.0,5,4,2.0,,,,,,5350000000.0,Dijual Rumah Mewah Hoek Furnished Greenwich Park [7X16],BSD,https://www.rumah123.com/properti/tangerang-bsd/dijual-rumah-mewah-hoek-furnished-greenwich-park-7x16-hos41441708/,rumah123_playwright,2026-04-19T13:02:16.484351
Tangerang,130.0,126.0,2,2,,,SHM,Siap Huni,,,2500000000.0,Dijual Rumah BSD 7X18 2 Lantai Semi Furnished Rapi Siap Huni,BSD,https://www.rumah123.com/properti/tangerang-bsd/dijual-rumah-bsd-7x18-2-lantai-semi-furnished-rapi-siap-huni-hos41417985/,rumah123_playwright,2026-04-19T13:02:23.958254
Tangerang,130.0,126.0,2,2,,,SHM,Siap Huni,,,2500000000.0,Dijual Rumah BSD 7X18 2 Lantai Semi Furnished Rapi Siap Huni,BSD,https://www.rumah123.com/properti/tangerang-bsd/dijual-rumah-bsd-7x18-2-lantai-semi-furnished-rapi-siap-huni-hos41417985/,rumah123_playwright,2026-04-19T13:02:49.160108
Tangerang,54.0,48.0,2,1,2.0,,,Baru,,,590000000.0,For Sale Rumah Murah Under 1M 2 Lantai New Condi Karya Alam Sutera Group,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/for-sale-rumah-murah-under-1m-2-lantai-new-condi-karya-alam-sutera-group-hos41294131/,rumah123_playwright,2026-04-19T13:02:57.853888
Tangerang,130.0,100.0,4,3,2.0,,SHM,,,,1500000000.0,Dijual Rumah 2 Lantai di Perum Ciater Permai .Serpong Tangerang Selatan,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-rumah-2-lantai-di-perum-ciater-permai-serpong-tangerang-selatan-hos41056539/,rumah123_playwright,2026-04-19T13:03:06.146025
Tangerang,140.0,136.0,4,3,1.0,,SHM,,,,2500000000.0,Dijual Murah Rumah Alam Sutera Jelita Kondisi Terawat,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-murah-rumah-alam-sutera-jelita-kondisi-terawat-hos41329977/,rumah123_playwright,2026-04-19T13:03:14.598128
Tangerang,130.0,90.0,3,3,1.0,,SHM,,,,1570000000.0,Jual Cepat Rumah Residence One BSD,BSD Residence One,https://www.rumah123.com/properti/tangerang-bsd-residence-one/rumah-residence-one-bsd-hos41411013/,rumah123_playwright,2026-04-19T13:03:22.505123
Tangerang,160.0,250.0,4,3,4.0,,,,,,2750000000.0,Murah Banget! Hitung Tanah Saja Rumah Sutera Kirana Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/murah-banget-hitung-tanah-saja-rumah-sutera-kirana-alam-sutera-hos40315821/,rumah123_playwright,2026-04-19T13:03:29.827519
Tangerang,400.0,475.0,6,5,4.0,,,,,,10500000000.0,Dijual Turun 3m! Rumah Sutera Orlanda- Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-turun-3m-rumah-sutera-orlanda-alam-sutera-hos40182216/,rumah123_playwright,2026-04-19T13:03:37.287616
Tangerang,600.0,300.0,4,3,4.0,,SHM,,,,6500000000.0,Dijual Rumah Cantik Cluster Orlanda di Alam Sutra,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-cantik-cluster-orlanda-di-alam-sutra-hos40852081/,rumah123_playwright,2026-04-19T13:03:44.452621
