city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Bekasi,80.0,72.0,3.0,3.0,,,,Siap Huni,,,890000000.0,Rumah 2 LT Siap Huni 15 Menit ke Gerbang Tol Gto Burangkeng J-41033,Bekasi,https://www.rumah123.com/properti/bekasi-bekasi/rumah-2-lt-siap-huni-15-menit-ke-gerbang-tol-gto-burangkeng-j41033-hos40957651/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:57:10.600720
Bekasi,200.0,330.0,7.0,6.0,,,SHM,Siap Huni,,,2440000000.0,Rumah Luas SHM 4 Menit ke Grand Market Cikarang Bebas Banjir J45564,Cikarang Utara,https://www.rumah123.com/properti/bekasi-cikarang-utara/rumah-luas-shm-4-menit-ke-grand-market-cikarang-bebas-banjir-j45564-hos41362351/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:57:21.281689
Bekasi,130.0,323.0,3.0,1.0,,,SHM,Siap Huni,,,2210000000.0,Rumah 1 LT Tanah Luas 11 Menit ke Gerbang Tol Jati Asih 2 Hadap Utara J42693,Jati Asih,https://www.rumah123.com/properti/bekasi-jati-asih/rumah-1-lt-tanah-luas-11-menit-ke-gerbang-tol-jati-asih-2-hadap-utara-j42693-hos41092422/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:57:31.845561
Bekasi,85.0,98.0,3.0,1.0,,,,Siap Huni,,,830000000.0,Rumah Siap Huni 9 Menit ke Gerbang Tol Jati Asih 2 Hadap Utara J44137,Jati Asih,https://www.rumah123.com/properti/bekasi-jati-asih/rumah-siap-huni-9-menit-ke-gerbang-tol-jati-asih-2-hadap-utara-j44137-hos41154062/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:57:42.171283
Bekasi,90.0,63.0,3.0,2.0,,,,Siap Huni,,,1050000000.0,Rumah Minimalis 15 Menit ke Eka Hospital Harapan Indah bisa KPR J39971,Harapan Indah,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-minimalis-15-menit-ke-eka-hospital-harapan-indah-bisa-kpr-j39971-hos41092414/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:57:52.654450
Bekasi,100.0,98.0,3.0,2.0,,,SHM,Siap Huni,,,970000000.0,Rumah SHM 14 Menit ke Plaza Metropolitan Siap Huni Dibantu KPR J-38169,Grand Wisata,https://www.rumah123.com/properti/bekasi-grand-wisata/rumah-shm-14-menit-ke-plaza-metropolitan-siap-huni-dibantu-kpr-j38169-hos41118231/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:58:03.465752
Bekasi,120.0,90.0,3.0,3.0,,,SHM,Siap Huni,,,780000000.0,Rumah LB 120 SHM 14 Mnt ke Summarecon Mall Bekasi Dibantu KPR J-43701,Bekasi Utara,https://www.rumah123.com/properti/bekasi-bekasi-utara/rumah-lb-120-shm-14-mnt-ke-summarecon-mall-bekasi-dibantu-kpr-j43701-hos41118232/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:58:13.992490
Bekasi,170.0,96.0,4.0,2.0,,,SHM,Siap Huni,,,1050000000.0,Rumah 13 Menit ke Summarecon Mall Bekasi SHM 3Lanntai J-39267,Bekasi Utara,https://www.rumah123.com/properti/bekasi-bekasi-utara/rumah-13-menit-ke-summarecon-mall-bekasi-shm-3lanntai-j39267-hos40581670/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:58:25.111510
Bekasi,100.0,190.0,3.0,2.0,,,,Siap Huni,,,1330000000.0,Rumah Luas 3 Kamar 15 Menit ke Gerbang Tol Jatiasih Hadap Timur J40626,Jati Asih,https://www.rumah123.com/properti/bekasi-jati-asih/rumah-luas-3-kamar-15-menit-ke-gerbang-tol-jatiasih-hadap-timur-j40626-hos40942834/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:58:35.077098
Bekasi,115.0,115.0,3.0,2.0,,,,Baru,,,880000000.0,Rumah Strategis 15 Menit ke Stasiun Tambun LT 115 Bebas Banjir J40251,Grand Wisata,https://www.rumah123.com/properti/bekasi-grand-wisata/rumah-strategis-15-menit-ke-stasiun-tambun-lt-115-bebas-banjir-j40251-hos40907563/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:58:44.857216
Bekasi,205.0,174.0,5.0,4.0,,,,Baru,,,2660000000.0,Rumah 2 Lt Bebas Banjir 7 Menit ke Rs Citra Harapan Hadap Timur J39657,Harapan Indah,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-2-lt-bebas-banjir-7-menit-ke-rs-citra-harapan-hadap-timur-j39657-hos40715917/?priceCurrency=IDR,rumah123_playwright,2026-04-19T13:58:56.066208
