city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Bogor,75.0,84.0,3,2,2.0,,,Baru,,,1500000000.0,"Unit Terbatas, Hunian Bagus 2 Lantai Baru Lokasi Dekat Mall dan Toll",Sentul City,https://www.rumah123.com/properti/bogor-sentul-city/unit-terbatas-hunian-bagus-2-lantai-baru-lokasi-dekat-mall-dan-toll-hos41388132/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:57:17.839775
Bogor,140.0,120.0,3,3,2.0,,,Baru,,,2800000000.0,Rumah Bagus Baru Mewah 2 Lantai di Cibubur Kondisi Baru,Kota Wisata,https://www.rumah123.com/properti/bogor-kota-wisata/rumah-bagus-baru-mewah-2-lantai-di-cibubur-kondisi-baru-hos39894186/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:57:27.101357
Bogor,82.0,72.0,3,2,2.0,,,Baru,,,1600000000.0,Dijual rumah bagus 2 lantai & 3 kamar tidur modern fasilitas lengkap,Gunung Putri,https://www.rumah123.com/properti/bogor-gunung-putri/dijual-rumah-bagus-2-lantai-3-kamar-tidur-modern-fasilitas-lengkap-hos39977899/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:57:36.583842
Bogor,330.0,264.0,6,6,4.0,,,Baru,,,7500000000.0,Luxury And Wide House In Bogor With The Best Golf Course View,Sentul City,https://www.rumah123.com/properti/bogor-sentul-city/dijual-rumah-premium-3-lantai-dengan-view-langsung-ke-lapangan-golf-hos41294785/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:57:47.588738
Bogor,400.0,611.0,4,4,4.0,,SHM,,,,5500000000.0,Rumah Besar Sentul 611M2 + Kolam Renang + View Cakep Depan Belakang + SHM,Sentul City,https://www.rumah123.com/properti/bogor-sentul-city/rumah-besar-sentul-611m2-kolam-renang-view-cakep-depan-belakang-shm-hos41287200/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:57:55.845731
Bogor,89.0,72.0,3,2,2.0,,,Baru,,,2000000000.0,For Sale Rumah Baru 3 Kamar di Cibubur Bogor Pilihan Terbaik,Cibubur,https://www.rumah123.com/properti/bogor-cibubur/for-sale-rumah-baru-3-kamar-di-cibubur-bogor-pilihan-terbaik-hos40523998/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:58:08.166228
Bogor,330.0,264.0,6,6,4.0,,,Baru,,,7500000000.0,Dijual Rumah Premium 3 Lantai dengan View Langsung ke Lapangan Golf,Sentul City,https://www.rumah123.com/properti/bogor-sentul-city/dijual-rumah-premium-3-lantai-dengan-view-langsung-ke-lapangan-golf-hos41294780/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:58:18.958490
Bogor,200.0,319.0,4,4,3.0,,SHM,Siap Huni,,,4000000000.0,1 Unit Rumah Siap Huni Hook Full Purnish Surat SHM + Kolam Renang Cluster Sentul City Bogor,Sentul City,https://www.rumah123.com/properti/bogor-sentul-city/rumah-hook-kolam-renang-purnish-sertifikat-cluster-sentul-city-bogor-hos40752947/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:58:31.288179
Bogor,72.0,90.0,3,2,2.0,,,,,,950000000.0,"Rumah, 2 Lantai, Dapat Subsidi Angsuran",Cibinong,https://www.rumah123.com/properti/bogor-cibinong/rumah-2-lantai-dapat-subsidi-angsuran-hos40744679/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:58:40.768412
Bogor,140.0,120.0,3,3,2.0,,,Baru,,,2800000000.0,"Rumah Baru, Mewah, Luas, dan Nyaman di Cibubur Dengan 3 KT",Cibubur,https://www.rumah123.com/properti/bogor-cibubur/rumah-baru-mewah-luas-dan-nyaman-di-cibubur-dengan-3-kt-hos39893809/?priceCurrency=IDR,rumah123_playwright,2026-04-19T10:58:51.419298
