city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Jakarta Selatan,44,24,2,2,2,,,,-6.231255,106.834507,850000000,Cluster Minimalis Hadir di Kuningan Jakarta Selatan,Kuningan,https://www.rumah123.com/properti/jakarta-selatan-kuningan/cluster-minimalis-hadir-di-kuningan-jakarta-selatan-hos41367844/,rumah123_playwright,2026-04-19T10:06:41.192150
Jakarta Timur,89,72,3,2,2,,,Baru,-6.35768,106.910987,2000000000,Rumah 2 Lantai Kondisi Baru Dijual di Cibubur Kawasan Strategis,Cibubur,https://www.rumah123.com/properti/bogor-cibubur/for-sale-rumah-baru-3-kamar-di-cibubur-bogor-pilihan-terbaik-hos40523999/,rumah123_playwright,2026-04-19T10:06:49.657136
Jakarta Barat,400,250,4,4,4,,,,-6.19344,106.73156,12000000000,Dijual Rumah 2 Lantai Puri Kencana Puri Indah Kembangan - 250m2,Puri Indah,https://www.rumah123.com/properti/jakarta-barat-puri-indah/dijual-rumah-2-lantai-puri-kencana-puri-indah-kembangan-250m2-hos39617044/,rumah123_playwright,2026-04-19T10:06:55.812431
Jakarta Barat,330,160,5,5,1,,,Butuh Renovasi,-6.174419,106.743662,5500000000,Dijual Rumah Green Lake City Full Furnished Sudah Renovasi Full Bangunan Lebar 8,Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/dijual-rumah-green-lake-city-full-furnished-sudah-renovasi-full-bangunan-lebar-8-hos41381669/,rumah123_playwright,2026-04-19T10:07:02.814464
Jakarta Selatan,120,65,3,2,2,,SHM,Baru,-6.328989,106.832081,1400000000,Hunian Strategis Jagakarsa Listrik Underground Legalitas SHM,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/hunian-strategis-jagakarsa-listrik-underground-legalitas-shm-hos41405062/,rumah123_playwright,2026-04-19T10:07:12.873351
Jakarta Timur,261,288,5,4,,,,,-6.209794,106.894699,5000000000,Rumah Luas di Pulomas Sudah Ditinggikan S8974,Pulomas,https://www.rumah123.com/properti/jakarta-timur-pulomas/rumah-luas-di-pulomas-sudah-ditinggikan-s8974-hos39825456/,rumah123_playwright,2026-04-19T10:07:20.808507
Jakarta Timur,180,105,5,5,4,,,Baru,-6.256676,106.927123,5400000000,Rumah Eksklusif Luas di Jakarta Bebas Banjir Siap Huni 5KT 5KM,Pondok Kelapa,https://www.rumah123.com/properti/jakarta-timur-pondok-kelapa/rumah-eksklusif-luas-di-jakarta-bebas-banjir-siap-huni-5kt-5km-hos40393419/,rumah123_playwright,2026-04-19T10:07:33.267528
Jakarta Utara,180,105,5,5,4,,,Baru,-6.143182,106.876834,5400000000,Rumah Premium Luas dengan Fasilitas Bintang Lima Dijual Kondisi Baru di Jakarta,Sunter,https://www.rumah123.com/properti/jakarta-utara-sunter/rumah-premium-luas-dengan-fasilitas-bintang-lima-dijual-kondisi-baru-di-jakarta-hos40863289/,rumah123_playwright,2026-04-19T10:07:44.866170
Jakarta Utara,120,75,3,3,1,,,Siap Huni,-6.161958,106.900248,1600000000,Murah !! Dijual Rumah Jarang Ada 5X15 Brand New di Bcs Kelapa Gading Hadap Timur,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/jarangadarumah-barubcs5x15-hadep-timur-hos40690155/,rumah123_playwright,2026-04-19T10:07:55.628021
Jakarta Utara,160,120,5,5,2,,,,-6.105681,106.737912,4300000000,Unit Langka! Rumah 2 Lantai Uk 8X15 Pik 1 Termurah - Segera Terjual!,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/unit-langka-rumah-2-lantai-uk-8x15-pik-1-termurah-segera-terjual-hos41137135/,rumah123_playwright,2026-04-19T10:08:02.849391
Jakarta Utara,180,105,5,5,4,,,Baru,-6.138881,106.876395,5400000000,Jual Rumah Baru Mewah Elit di Jakarta 3 Lantai dan 5 Kamar Tidur Sangat Luas,Sunter,https://www.rumah123.com/properti/jakarta-utara-sunter/jual-rumah-baru-mewah-elit-di-jakarta-3-lantai-dan-5-kamar-tidur-sangat-luas-hos40863255/,rumah123_playwright,2026-04-19T10:08:15.043025
Jakarta Timur,180,105,5,5,4,,,Baru,-6.192079,106.938664,5400000000,Rumah Baru di Perumahan Mewah Jakarta Timur 3 Lantai dengan 5 Kamar Tidur,Cakung,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-baru-di-perumahan-mewah-jakarta-timur-3-lantai-dengan-5-kamar-tidur-hos40855289/,rumah123_playwright,2026-04-19T10:08:26.295333
Jakarta Utara,445,360,5,5,4,,,,-6.105439,106.742852,12200000000,Promo Jual Rugi! Rumah 12X30 Golf Island - Brand New Tinggal Satu Unit,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/promo-jual-rugi-rumah-12x30-golf-island-brand-new-tinggal-satu-unit-hos41149425/,rumah123_playwright,2026-04-19T10:08:34.852848
Jakarta Utara,176,136,4,4,2,,SHM,Siap Huni,-6.108003,106.740142,5900000000,Rumah Pik 8X17 Garden House Furnished Siap Huni!,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-pik-8x17-garden-house-furnished-siap-huni-hos41320139/,rumah123_playwright,2026-04-19T10:08:43.313423
Jakarta Barat,120,90,3,3,2,,SHM,,-6.169076,106.735465,2300000000,Dijual Termurah Rumah di Green Lake City Cluster Favorit 6*15,Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/dijual-termurah-rumah-di-green-lake-city-cluster-favorit-615-hos41332175/,rumah123_playwright,2026-04-19T10:08:51.214612
Jakarta Selatan,1050,627,8,7,,,,,-6.278925,106.791705,45000000000,Rumah di Jual di Pondok Indah Jakarta Selatan,Pondok Indah,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-di-jual-di-pondok-indah-jakarta-selatan-hos41197149/,rumah123_playwright,2026-04-19T10:08:58.332220
Jakarta Barat,60,80,1,1,,,,,-6.164349,106.794489,1150000000,Chandra Rumah Lama Ukuran 4X20m di Jelambar,Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/chandra-rumah-lama-ukuran-4x20m-di-jelambar-hos41178992/,rumah123_playwright,2026-04-19T10:09:06.466207
Jakarta Selatan,375,76,4,4,4,,,Baru,-6.240344,106.803084,6900000000,Rumah Mewah Kondisi Baru di Jakarta Selatan 4 Lantai,Pakubuwono,https://www.rumah123.com/properti/jakarta-selatan-pakubuwono/rumah-mewah-kondisi-baru-di-jakarta-selatan-4-lantai-hos39637657/,rumah123_playwright,2026-04-19T10:09:14.848943
Jakarta Barat,650,240,6,6,,,,,-6.161954,106.785977,12500000000,Chandra Rumah Full Furnish Luas Tanah 240M2 Ada Kolam Renang di Komplek Kavling Polri Jelambar,Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/chandra-rumah-full-furnish-luas-tanah-240m2-ada-kolam-renang-di-komplek-kavling-polri-jelambar-hos41241123/,rumah123_playwright,2026-04-19T10:09:21.355389
Jakarta Utara,375,250,4,4,3,,,,-6.108158,106.729402,11300000000,Rumah Full Furnished 10X25 Harga Miring! Tinggal Bawa Koper Best Deal !,Golf Island,https://www.rumah123.com/properti/jakarta-utara-golf-island/rumah-full-furnished-10x25-harga-miring-tinggal-bawa-koper-best-deal-hos40547316/,rumah123_playwright,2026-04-19T10:09:28.382094
Jakarta Barat,150,75,4,4,,,,Baru,-6.17878,106.749952,2600000000,Chandra Rumah Baru Ukuran 5X15m di Komplek Taman Ratu,Taman Ratu,https://www.rumah123.com/properti/jakarta-barat-taman-ratu/chandra-rumah-baru-ukuran-5x15m-di-komplek-taman-ratu-hos41266106/,rumah123_playwright,2026-04-19T10:09:46.971354
Jakarta Barat,150,75,3,4,,,,Baru,-6.164656,106.794093,2500000000,Chandra Rumah Baru Ukuran 5X15m Hadap Timur di Jelambar,Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/chandra-rumah-baru-ukuran-5x15m-hadap-timur-di-jelambar-hos41241189/,rumah123_playwright,2026-04-19T10:09:52.995831
Jakarta Barat,63,38,3,3,,,,,-6.182412,106.801625,1200000000,Chandra Rumah Full Furnish Ukuran 3.5X11m di Tanjung Duren,Tanjung Duren,https://www.rumah123.com/properti/jakarta-barat-tanjung-duren/chandra-rumah-full-furnish-ukuran-35x11m-di-tanjung-duren-hos41322010/,rumah123_playwright,2026-04-19T10:09:59.100242
Jakarta Utara,245,245,5,4,2,,,,-6.161883,106.900201,4800000000,Dijual Rumah Mewah Semi Furnished di Cluster Imperial Gading Pelindo 2,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-rumah-mewah-semi-furnished-di-cluster-imperial-gading-pelindo-2-hos41401565/,rumah123_playwright,2026-04-19T10:10:06.422773
Jakarta Utara,174,160,4,4,2,,,,-6.109533,106.726849,5400000000,Promo Free PPN - Rumah 8X20 Golf Island Brand New bisa KPR - Segera Terjual!,Golf Island,https://www.rumah123.com/properti/jakarta-utara-golf-island/promo-free-ppn-rumah-8x20-golf-island-brand-new-bisa-kpr-segera-terjual-hos41149545/,rumah123_playwright,2026-04-19T10:10:13.031931
Jakarta Barat,133,120,4,4,1,,,,-6.165304,106.742751,3600000000,Dijual Termurah Rumah Riviera 8*15 Dekat Dari Green Lake City Glc,Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/dijual-termurah-rumah-rivieradekat-green-lake-city-glc-815-hos41332009/,rumah123_playwright,2026-04-19T10:10:20.661540
Jakarta Barat,144,165,4,4,4,,,,-6.165605,106.743948,4000000000,Dijual Rumah 11 X 15 Hoek West Europe Green Lake City Jual Cepat,Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/rumah-hoek-west-europe-green-lake-city-jual-cepat-nego-cepat-hos40600795/,rumah123_playwright,2026-04-19T10:10:31.656664
Jakarta Selatan,300,276,,2,2,,,Baru,-6.249021,106.804219,4500000000,Murah! Rumah Cocok Kantor Radio Dalam Jaksel,Radio Dalam,https://www.rumah123.com/properti/jakarta-selatan-radio-dalam/murah-rumah-cocok-kantor-radio-dalam-jaksel-hos40366101/,rumah123_playwright,2026-04-19T10:10:38.236940
Jakarta Barat,400,200,3,4,4,,SHM,,-6.189115,106.72696,6700000000,Rumah 2 Lantai Full Bangunan Puri Mansion Jakarta Barat Dekat Tol,Puri Mansion,https://www.rumah123.com/properti/jakarta-barat-puri-mansion/rumah-2-lantai-full-bangunan-puri-mansion-jakarta-barat-dekat-tol-hos41296551/,rumah123_playwright,2026-04-19T10:10:45.119819
Jakarta Barat,60,55,3,3,2,,SHM,,-6.169548,106.733253,1450000000,Dijual Rumah 2 Lantai di Clematis Metland Puri Bebas Banjir,Metland Puri,https://www.rumah123.com/properti/jakarta-barat-metland-puri/rumah-2-lantai-di-metland-puri-belakang-uniqlo-bebas-banjir-hos41166078/,rumah123_playwright,2026-04-19T10:10:54.322016
Jakarta Selatan,40,32,2,2,1,,,Baru,-6.271113,106.767713,685000000,"Rumah Baru & Murah Joglo, Petukangan, Pesanggrahan, Larangan, Kreo",Petukangan,https://www.rumah123.com/properti/jakarta-selatan-petukangan/rumah-baru-murah-joglo-petukangan-pesanggrahan-larangan-kreo-hos14849040/,rumah123_playwright,2026-04-19T10:11:02.033597
Jakarta Selatan,800,1050,12,5,9,,,,-6.256713,106.813568,23000000000,"Strategis, Pggr Jln Raya, Murah Bwh Njop",Kemang,https://www.rumah123.com/properti/jakarta-selatan-kemang/strategis-pggr-jln-raya-murah-bwh-njop-hos19240813/,rumah123_playwright,2026-04-19T10:11:09.659454
Jakarta Utara,325,459,6,6,3,,SHM,Bagus,-6.107191,106.740427,16500000000,Unit Langka! Rumah Pinisi Indah 17X27 Termurah - Posisi Bagus,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/unit-langka-rumah-pinisi-indah-17x27-termurah-posisi-bagus-hos41149871/,rumah123_playwright,2026-04-19T10:11:16.842281
Jakarta Utara,156,112,5,4,4,,,Baru,-6.163591,106.903022,4600000000,Hunian Nyaman Mewah Luas Dekat Mall dan Sekolah,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/hunian-nyaman-mewah-luas-dekat-mall-dan-sekolah-hos40315290/,rumah123_playwright,2026-04-19T10:11:27.108588
Jakarta Timur,180,105,5,5,4,,,Baru,-6.249254,106.924869,5400000000,Hunian Mewah 3 Lantai dengan Clubhouse Bintang 5 di Jakarta,Duren Sawit,https://www.rumah123.com/properti/jakarta-timur-duren-sawit/hunian-mewah-3-lantai-dengan-clubhouse-bintang-5-di-jakarta-hos40393029/,rumah123_playwright,2026-04-19T10:11:38.308889
Jakarta Barat,263,150,5,4,2,,SHM,Siap Huni,-6.162278,106.731987,5000000000,"Rumah East Terrace Metland Puri, Minimalis Renov 2.5 Lantai , SHM",Metland Puri,https://www.rumah123.com/properti/jakarta-barat-metland-puri/rumah-east-terrace-metland-puri-minimalis-uk-10x15-semi-furnish-hos41165028/,rumah123_playwright,2026-04-19T10:11:46.971795
Jakarta Barat,76,48,2,2,,,SHM,,-6.174945,106.743155,1350000000,"Rumah di Green Lake City , West Europe Uk. 4X15 , 2 Lantai , SHM",Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/rumah-di-green-lake-city-west-europe-uk-4x15-2-lantai-shm-hos41331417/,rumah123_playwright,2026-04-19T10:11:54.276421
Jakarta Utara,2500,1040,5,5,,,,,-6.087931,106.73229,85000000000,Dijual Murah Rumah Mewah Ebony - Pik Hoek Timur Selatan Ukr 1.040M2 View Danau,Pantai Indah Kapuk 2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/dijual-murah-rumah-mewah-ebony-pik-hoek-timur-selatan-ukr-1040m2-view-danau-hos41308235/,rumah123_playwright,2026-04-19T10:12:00.908306
Jakarta Barat,130,90,4,4,2,,SHM,,-6.167287,106.73574,2490000000,"Rumah di Green Lake City, Cluster Europe Uk. 6X15, 2 Lantai , SHM",Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/rumah-di-green-lake-city-cluster-europe-uk-6x15-2-lantai-shm-hos41203773/,rumah123_playwright,2026-04-19T10:12:08.937075
