city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Jakarta Utara,120.0,75.0,3.0,3,1.0,,,Siap Huni,,,1600000000.0,Murah !! Dijual Rumah Jarang Ada 5X15 Brand New di Bcs Kelapa Gading Hadap Timur,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/jarangadarumah-barubcs5x15-hadep-timur-hos40690155/,rumah123_playwright,2026-04-19T09:43:14.637435
Jakarta Utara,160.0,120.0,5.0,5,2.0,,,,,,4300000000.0,Unit Langka! Rumah 2 Lantai Uk 8X15 Pik 1 Termurah - Segera Terjual!,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/unit-langka-rumah-2-lantai-uk-8x15-pik-1-termurah-segera-terjual-hos41137135/,rumah123_playwright,2026-04-19T09:43:25.627037
Jakarta Utara,180.0,105.0,5.0,5,4.0,,,Baru,,,5400000000.0,Jual Rumah Baru Mewah Elit di Jakarta 3 Lantai dan 5 Kamar Tidur Sangat Luas,Sunter,https://www.rumah123.com/properti/jakarta-utara-sunter/jual-rumah-baru-mewah-elit-di-jakarta-3-lantai-dan-5-kamar-tidur-sangat-luas-hos40863255/,rumah123_playwright,2026-04-19T09:43:39.020771
Jakarta Timur,180.0,105.0,5.0,5,4.0,,,Baru,,,5400000000.0,Rumah Baru di Perumahan Mewah Jakarta Timur 3 Lantai dengan 5 Kamar Tidur,Cakung,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-baru-di-perumahan-mewah-jakarta-timur-3-lantai-dengan-5-kamar-tidur-hos40855289/,rumah123_playwright,2026-04-19T09:43:49.122532
Jakarta Utara,445.0,360.0,5.0,5,4.0,,,,,,12200000000.0,Promo Jual Rugi! Rumah 12X30 Golf Island - Brand New Tinggal Satu Unit,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/promo-jual-rugi-rumah-12x30-golf-island-brand-new-tinggal-satu-unit-hos41149425/,rumah123_playwright,2026-04-19T09:44:00.386928
Jakarta Utara,176.0,136.0,4.0,4,2.0,,SHM,Siap Huni,,,5900000000.0,Rumah Pik 8X17 Garden House Furnished Siap Huni!,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-pik-8x17-garden-house-furnished-siap-huni-hos41320139/,rumah123_playwright,2026-04-19T09:44:12.697080
Jakarta Barat,120.0,90.0,3.0,3,2.0,,SHM,,,,2300000000.0,Dijual Termurah Rumah di Green Lake City Cluster Favorit 6*15,Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/dijual-termurah-rumah-di-green-lake-city-cluster-favorit-615-hos41332175/,rumah123_playwright,2026-04-19T09:44:22.512120
Jakarta Selatan,1050.0,627.0,8.0,7,,,,,,,45000000000.0,Rumah di Jual di Pondok Indah Jakarta Selatan,Pondok Indah,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-di-jual-di-pondok-indah-jakarta-selatan-hos41197149/,rumah123_playwright,2026-04-19T09:44:30.351294
Jakarta Barat,60.0,80.0,1.0,1,,,,,,,1150000000.0,Chandra Rumah Lama Ukuran 4X20m di Jelambar,Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/chandra-rumah-lama-ukuran-4x20m-di-jelambar-hos41178992/,rumah123_playwright,2026-04-19T09:44:39.260191
Jakarta Selatan,375.0,76.0,4.0,4,4.0,,,Baru,,,6900000000.0,Rumah Mewah Kondisi Baru di Jakarta Selatan 4 Lantai,Pakubuwono,https://www.rumah123.com/properti/jakarta-selatan-pakubuwono/rumah-mewah-kondisi-baru-di-jakarta-selatan-4-lantai-hos39637657/,rumah123_playwright,2026-04-19T09:44:47.784333
Jakarta Barat,650.0,240.0,6.0,6,,,,,,,12500000000.0,Chandra Rumah Full Furnish Luas Tanah 240M2 Ada Kolam Renang di Komplek Kavling Polri Jelambar,Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/chandra-rumah-full-furnish-luas-tanah-240m2-ada-kolam-renang-di-komplek-kavling-polri-jelambar-hos41241123/,rumah123_playwright,2026-04-19T09:44:54.795808
Jakarta Utara,375.0,250.0,4.0,4,3.0,,,,,,11300000000.0,Rumah Full Furnished 10X25 Harga Miring! Tinggal Bawa Koper Best Deal !,Golf Island,https://www.rumah123.com/properti/jakarta-utara-golf-island/rumah-full-furnished-10x25-harga-miring-tinggal-bawa-koper-best-deal-hos40547316/,rumah123_playwright,2026-04-19T09:45:02.272521
Jakarta Barat,150.0,75.0,4.0,4,,,,Baru,,,2600000000.0,Chandra Rumah Baru Ukuran 5X15m di Komplek Taman Ratu,Taman Ratu,https://www.rumah123.com/properti/jakarta-barat-taman-ratu/chandra-rumah-baru-ukuran-5x15m-di-komplek-taman-ratu-hos41266106/,rumah123_playwright,2026-04-19T09:45:10.263981
Jakarta Barat,150.0,75.0,3.0,4,,,,Baru,,,2500000000.0,Chandra Rumah Baru Ukuran 5X15m Hadap Timur di Jelambar,Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/chandra-rumah-baru-ukuran-5x15m-hadap-timur-di-jelambar-hos41241189/,rumah123_playwright,2026-04-19T09:45:18.169874
Jakarta Barat,63.0,38.0,3.0,3,,,,,,,1200000000.0,Chandra Rumah Full Furnish Ukuran 3.5X11m di Tanjung Duren,Tanjung Duren,https://www.rumah123.com/properti/jakarta-barat-tanjung-duren/chandra-rumah-full-furnish-ukuran-35x11m-di-tanjung-duren-hos41322010/,rumah123_playwright,2026-04-19T09:45:25.906794
Jakarta Utara,245.0,245.0,5.0,4,2.0,,,,,,4800000000.0,Dijual Rumah Mewah Semi Furnished di Cluster Imperial Gading Pelindo 2,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-rumah-mewah-semi-furnished-di-cluster-imperial-gading-pelindo-2-hos41401565/,rumah123_playwright,2026-04-19T09:45:36.646872
